time	x	y	pressure	tiltX	tiltY	azimuth	sidePressure	rotation
0	164	667	0	0	0	0	0	0
0.01732577	160	665	0	0	0	0	0	0
0.03465154	156	665	0	0	0	0	0	0
0.05197731	152	663	0	0	0	0	0	0
0.06930308	148	663	0	0	0	0	0	0
0.08662885	144	663	0	0	0	0	0	0
0.10395462	140	663	0	0	0	0	0	0
0.12128039	136	662	0	0	0	0	0	0
0.13860616	133	662	0	0	0	0	0	0
0.15593193	129	661	0	0	0	0	0	0
0.1732577	125	660	0	0	0	0	0	0
0.19058347	121	660	0	0	0	0	0	0
0.20790924	118	658	0	0	0	0	0	0
0.22523501	116	658	0	0	0	0	0	0
Pause
1.22523501	116	658	0	0	0	0	0	0
1.24256078	113	656	0	0	0	0	0	0
1.25988655	110	654	0	0	0	0	0	0
1.27721232	106	653	0	0	0	0	0	0
1.29453809	102	653	0	0	0	0	0	0
1.31186386	98	652	0	0	0	0	0	0
1.32918963	95	650	0	0	0	0	0	0
1.3465154	94	646	0	0	0	0	0	0
1.36384117	92	644	0	0	0	0	0	0
1.38116694	92	641	0	0	0	0	0	0
1.39849271	92	637	0	0	0	0	0	0
1.41581848	93	633	0	0	0	0	0	0
1.43314425	93	629	0	0	0	0	0	0
1.45047002	93	627	0	0	0	0	0	0
Pause
2.45047002	93	627	0	0	0	0	0	0
2.46779579	93	623	0	0	0	0	0	0
2.48512156	93	619	0	0	0	0	0	0
2.50244733	92	615	0	0	0	0	0	0
2.5197731	92	611	0	0	0	0	0	0
2.53709887	91	607	0	0	0	0	0	0
2.55442464	91	603	0	0	0	0	0	0
2.57175041	90	599	0	0	0	0	0	0
2.58907618	90	595	0	0	0	0	0	0
2.60640195	90	591	0	0	0	0	0	0
2.62372772	90	587	0	0	0	0	0	0
2.64105349	90	583	0	0	0	0	0	0
2.65837926	90	579	0	0	0	0	0	0
2.67570503	90	577	0	0	0	0	0	0
Pause
3.67570503	90	577	0	0	0	0	0	0
3.6930308	90	573	0	0	0	0	0	0
3.71035657	90	569	0	0	0	0	0	0
3.72768234	90	565	0	0	0	0	0	0
3.74500811	90	561	0	0	0	0	0	0
3.76233388	91	557	0	0	0	0	0	0
3.77965965	91	553	0	0	0	0	0	0
3.79698542	92	549	0	0	0	0	0	0
3.81431119	94	547	0	0	0	0	0	0
3.83163696	95	545	0	0	0	0	0	0
3.84896273	97	542	0	0	0	0	0	0
3.8662885	99	539	0	0	0	0	0	0
3.88361427	102	536	0	0	0	0	0	0
3.90094004	103	534	0	0	0	0	0	0
Pause
4.90094004	103	534	0	0	0	0	0	0
4.91826581	104	531	0	0	0	0	0	0
4.93559158	103	527	0	0	0	0	0	0
4.95291735	103	523	0	0	0	0	0	0
4.97024312	102	519	0	0	0	0	0	0
4.98756889	102	515	0	0	0	0	0	0
5.00489466	102	511	0	0	0	0	0	0
5.02222043	102	507	0	0	0	0	0	0
5.0395462	102	504	0	0	0	0	0	0
5.05687197	103	505	0	0	0	0	0	0
5.07419774	103	501	0	0	0	0	0	0
5.09152351	104	497	0	0	0	0	0	0
