time	x	y	pressure	tiltX	tiltY	azimuth	sidePressure	rotation
0	339	540	0	0	0	0	0	0
0.01732577	342	538	0	0	0	0	0	0
0.03465154	346	538	0	0	0	0	0	0
0.05197731	350	538	0	0	0	0	0	0
0.06930308	354	537	0	0	0	0	0	0
0.08662885	358	537	0	0	0	0	0	0
0.10395462	362	537	0	0	0	0	0	0
0.12128039	366	536	0	0	0	0	0	0
0.13860616	370	535	0	0	0	0	0	0
0.15593193	374	534	0	0	0	0	0	0
0.1732577	378	533	0	0	0	0	0	0
0.19058347	382	532	0	0	0	0	0	0
0.20790924	386	531	0	0	0	0	0	0
0.22523501	388	530	0	0	0	0	0	0
Pause
1.22523501	388	530	0	0	0	0	0	0
1.24256078	391	529	0	0	0	0	0	0
1.25988655	395	528	0	0	0	0	0	0
1.27721232	399	526	0	0	0	0	0	0
1.29453809	402	525	0	0	0	0	0	0
1.31186386	406	523	0	0	0	0	0	0
1.32918963	410	521	0	0	0	0	0	0
1.3465154	413	519	0	0	0	0	0	0
1.36384117	417	517	0	0	0	0	0	0
1.38116694	420	515	0	0	0	0	0	0
1.39849271	423	513	0	0	0	0	0	0
1.41581848	426	510	0	0	0	0	0	0
1.43314425	430	508	0	0	0	0	0	0
1.45047002	431	507	0	0	0	0	0	0
Pause
2.45047002	431	507	0	0	0	0	0	0
2.46779579	434	504	0	0	0	0	0	0
2.48512156	438	502	0	0	0	0	0	0
2.50244733	441	499	0	0	0	0	0	0
2.5197731	444	497	0	0	0	0	0	0
2.53709887	446	494	0	0	0	0	0	0
2.55442464	449	491	0	0	0	0	0	0
2.57175041	452	488	0	0	0	0	0	0
2.58907618	455	485	0	0	0	0	0	0
2.60640195	458	482	0	0	0	0	0	0
2.62372772	461	480	0	0	0	0	0	0
2.64105349	463	477	0	0	0	0	0	0
2.65837926	466	474	0	0	0	0	0	0
2.67570503	467	472	0	0	0	0	0	0
Pause
3.67570503	467	472	0	0	0	0	0	0
3.6930308	470	469	0	0	0	0	0	0
3.71035657	472	466	0	0	0	0	0	0
3.72768234	475	463	0	0	0	0	0	0
3.74500811	478	460	0	0	0	0	0	0
3.76233388	480	457	0	0	0	0	0	0
3.77965965	483	454	0	0	0	0	0	0
3.79698542	485	451	0	0	0	0	0	0
3.81431119	488	448	0	0	0	0	0	0
3.83163696	490	444	0	0	0	0	0	0
3.84896273	493	441	0	0	0	0	0	0
3.8662885	495	438	0	0	0	0	0	0
3.88361427	498	435	0	0	0	0	0	0
3.90094004	499	434	0	0	0	0	0	0
Pause
4.90094004	499	434	0	0	0	0	0	0
4.91826581	502	430	0	0	0	0	0	0
4.93559158	504	427	0	0	0	0	0	0
4.95291735	507	424	0	0	0	0	0	0
4.97024312	509	421	0	0	0	0	0	0
4.98756889	512	418	0	0	0	0	0	0
5.00489466	515	415	0	0	0	0	0	0
5.02222043	517	412	0	0	0	0	0	0
5.0395462	520	409	0	0	0	0	0	0
5.05687197	518	408	0	0	0	0	0	0
5.07419774	514	407	0	0	0	0	0	0
5.09152351	510	406	0	0	0	0	0	0
5.10884928	506	405	0	0	0	0	0	0
5.12617505	504	404	0	0	0	0	0	0
Pause
6.12617505	504	404	0	0	0	0	0	0
6.14350082	500	403	0	0	0	0	0	0
6.16082659	496	402	0	0	0	0	0	0
6.17815236	493	401	0	0	0	0	0	0
6.19547813	489	399	0	0	0	0	0	0
6.2128039	485	398	0	0	0	0	0	0
6.23012967	481	397	0	0	0	0	0	0
6.24745544	477	395	0	0	0	0	0	0
6.26478121	474	394	0	0	0	0	0	0
6.28210698	470	392	0	0	0	0	0	0
6.29943275	466	391	0	0	0	0	0	0
6.31675852	463	389	0	0	0	0	0	0
6.33408429	459	388	0	0	0	0	0	0
6.35141006	457	387	0	0	0	0	0	0
Pause
7.35141006	457	387	0	0	0	0	0	0
7.36873583	453	385	0	0	0	0	0	0
7.3860616	450	384	0	0	0	0	0	0
7.40338737	446	382	0	0	0	0	0	0
7.42071314	443	380	0	0	0	0	0	0
7.43803891	439	378	0	0	0	0	0	0
7.45536468	435	377	0	0	0	0	0	0
7.47269045	432	375	0	0	0	0	0	0
7.49001622	428	373	0	0	0	0	0	0
7.50734199	425	371	0	0	0	0	0	0
7.52466776	421	369	0	0	0	0	0	0
7.54199353	418	367	0	0	0	0	0	0
7.5593193	414	365	0	0	0	0	0	0
7.57664507	412	364	0	0	0	0	0	0
Pause
8.57664507	412	364	0	0	0	0	0	0
8.59397084	409	363	0	0	0	0	0	0
8.61129661	405	361	0	0	0	0	0	0
8.62862238	402	359	0	0	0	0	0	0
8.64594815	398	357	0	0	0	0	0	0
8.66327392	395	355	0	0	0	0	0	0
8.68059969	392	353	0	0	0	0	0	0
8.69792546	388	351	0	0	0	0	0	0
8.71525123	385	349	0	0	0	0	0	0
8.732577	381	346	0	0	0	0	0	0
8.74990277	378	344	0	0	0	0	0	0
8.76722854	374	342	0	0	0	0	0	0
8.78455431	371	340	0	0	0	0	0	0
8.80188008	369	339	0	0	0	0	0	0
Pause
9.80188008	369	339	0	0	0	0	0	0
9.81920585	366	337	0	0	0	0	0	0
9.83653162	362	335	0	0	0	0	0	0
9.85385739	359	333	0	0	0	0	0	0
9.87118316	355	331	0	0	0	0	0	0
9.88850893	352	329	0	0	0	0	0	0
9.9058347	349	327	0	0	0	0	0	0
9.92316047	345	325	0	0	0	0	0	0
